y_mm \ x_mm,-42.00,-41.00,-40.00,-39.00,-38.00,-37.00,-36.00,-35.00,-34.00,-33.00,-32.00,-31.00,-30.00,-29.00,-28.00,-27.00,-26.00,-25.00,-24.00,-23.00,-22.00,-21.00,-20.00,-19.00,-18.00,-17.00,-16.00,-15.00,-14.00,-13.00,-12.00,-11.00,-10.00,-9.00,-8.00,-7.00,-6.00,-5.00,-4.00,-3.00,-2.00,-1.00,0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00
-40.00,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0007,0.0010,0.0013,0.0016,0.0018,0.0020,0.0021,0.0024,0.0030,0.0036,0.0044,0.0049,0.0050,0.0053,0.0057,0.0060,0.0063,0.0065,0.0067,0.0072,0.0078,0.0085,0.0091,0.0097,0.0104,0.0112,0.0120,0.0122,0.0118,0.0122,0.0133,0.0135,0.0127,0.0123,0.0121,0.0117,0.0110,0.0103,0.0099,0.0094,0.0090,0.0081,0.0068,0.0057,0.0048,0.0040,0.0033,0.0028,0.0026,0.0022,0.0017,0.0013,0.0009,0.0007,0.0005,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001
-39.00,0.0001,0.0001,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005,0.0009,0.0013,0.0019,0.0023,0.0025,0.0027,0.0028,0.0032,0.0039,0.0048,0.0060,0.0067,0.0070,0.0072,0.0075,0.0080,0.0087,0.0091,0.0094,0.0100,0.0110,0.0118,0.0123,0.0132,0.0144,0.0155,0.0163,0.0166,0.0164,0.0168,0.0179,0.0180,0.0172,0.0166,0.0159,0.0151,0.0142,0.0135,0.0129,0.0124,0.0119,0.0108,0.0091,0.0076,0.0063,0.0052,0.0043,0.0036,0.0032,0.0027,0.0020,0.0014,0.0010,0.0007,0.0006,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0005,0.0004,0.0003,0.0002,0.0002,0.0002,0.0001,0.0000,0.0000,0.0001,0.0001
-38.00,0.0001,0.0001,0.0002,0.0002,0.0003,0.0003,0.0004,0.0005,0.0006,0.0007,0.0006,0.0009,0.0013,0.0020,0.0028,0.0032,0.0033,0.0037,0.0043,0.0050,0.0057,0.0069,0.0085,0.0095,0.0099,0.0105,0.0112,0.0122,0.0134,0.0142,0.0148,0.0159,0.0176,0.0186,0.0191,0.0201,0.0219,0.0234,0.0247,0.0253,0.0252,0.0254,0.0259,0.0259,0.0253,0.0252,0.0257,0.0250,0.0233,0.0216,0.0198,0.0183,0.0172,0.0153,0.0129,0.0110,0.0094,0.0078,0.0059,0.0047,0.0041,0.0033,0.0024,0.0018,0.0015,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008,0.0008,0.0006,0.0005,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001
-37.00,0.0001,0.0002,0.0002,0.0003,0.0003,0.0004,0.0006,0.0007,0.0009,0.0010,0.0009,0.0012,0.0018,0.0026,0.0036,0.0041,0.0042,0.0047,0.0058,0.0068,0.0076,0.0089,0.0109,0.0122,0.0128,0.0137,0.0149,0.0164,0.0181,0.0194,0.0203,0.0218,0.0241,0.0254,0.0258,0.0271,0.0293,0.0313,0.0331,0.0340,0.0340,0.0340,0.0340,0.0337,0.0333,0.0339,0.0354,0.0349,0.0325,0.0297,0.0267,0.0242,0.0224,0.0199,0.0168,0.0143,0.0126,0.0103,0.0075,0.0057,0.0049,0.0040,0.0028,0.0022,0.0019,0.0017,0.0016,0.0014,0.0011,0.0009,0.0010,0.0009,0.0007,0.0005,0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001
-36.00,0.0003,0.0002,0.0003,0.0003,0.0004,0.0005,0.0007,0.0010,0.0014,0.0016,0.0016,0.0019,0.0026,0.0035,0.0046,0.0055,0.0062,0.0072,0.0085,0.0100,0.0115,0.0133,0.0155,0.0175,0.0193,0.0209,0.0224,0.0242,0.0260,0.0279,0.0299,0.0326,0.0360,0.0385,0.0400,0.0419,0.0439,0.0463,0.0490,0.0506,0.0513,0.0521,0.0530,0.0528,0.0517,0.0514,0.0519,0.0504,0.0471,0.0432,0.0387,0.0350,0.0321,0.0284,0.0241,0.0205,0.0179,0.0146,0.0107,0.0081,0.0067,0.0056,0.0046,0.0039,0.0033,0.0026,0.0020,0.0016,0.0014,0.0013,0.0014,0.0013,0.0008,0.0005,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001
-35.00,0.0004,0.0003,0.0004,0.0004,0.0005,0.0006,0.0008,0.0012,0.0018,0.0022,0.0022,0.0026,0.0034,0.0044,0.0056,0.0068,0.0081,0.0096,0.0112,0.0132,0.0154,0.0177,0.0202,0.0229,0.0257,0.0281,0.0300,0.0320,0.0340,0.0366,0.0395,0.0433,0.0479,0.0515,0.0542,0.0566,0.0585,0.0613,0.0648,0.0673,0.0687,0.0703,0.0720,0.0719,0.0702,0.0690,0.0683,0.0659,0.0616,0.0566,0.0508,0.0458,0.0417,0.0369,0.0313,0.0267,0.0232,0.0189,0.0139,0.0104,0.0085,0.0072,0.0064,0.0056,0.0046,0.0035,0.0024,0.0017,0.0017,0.0017,0.0019,0.0016,0.0009,0.0005,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0001,0.0002
-34.00,0.0004,0.0004,0.0004,0.0005,0.0007,0.0008,0.0009,0.0012,0.0019,0.0025,0.0032,0.0041,0.0054,0.0068,0.0082,0.0099,0.0118,0.0138,0.0159,0.0186,0.0219,0.0256,0.0297,0.0334,0.0368,0.0406,0.0448,0.0484,0.0515,0.0550,0.0589,0.0639,0.0701,0.0756,0.0805,0.0844,0.0873,0.0911,0.0958,0.0996,0.1024,0.1041,0.1045,0.1042,0.1030,0.1007,0.0974,0.0924,0.0857,0.0793,0.0729,0.0659,0.0582,0.0506,0.0433,0.0370,0.0318,0.0264,0.0207,0.0162,0.0128,0.0102,0.0085,0.0071,0.0062,0.0049,0.0034,0.0024,0.0021,0.0018,0.0016,0.0012,0.0008,0.0005,0.0005,0.0004,0.0003,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001
-33.00,0.0004,0.0005,0.0005,0.0006,0.0009,0.0010,0.0009,0.0013,0.0019,0.0029,0.0041,0.0057,0.0074,0.0092,0.0109,0.0130,0.0154,0.0179,0.0205,0.0241,0.0285,0.0335,0.0392,0.0440,0.0479,0.0530,0.0596,0.0648,0.0689,0.0734,0.0783,0.0846,0.0923,0.0996,0.1068,0.1122,0.1161,0.1210,0.1268,0.1319,0.1362,0.1379,0.1371,0.1364,0.1358,0.1325,0.1265,0.1189,0.1099,0.1019,0.0952,0.0861,0.0747,0.0644,0.0553,0.0473,0.0405,0.0339,0.0275,0.0219,0.0171,0.0133,0.0105,0.0087,0.0078,0.0064,0.0043,0.0031,0.0026,0.0019,0.0012,0.0008,0.0006,0.0005,0.0005,0.0004,0.0004,0.0003,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000
-32.00,0.0004,0.0005,0.0006,0.0008,0.0010,0.0013,0.0016,0.0022,0.0031,0.0043,0.0057,0.0074,0.0097,0.0122,0.0149,0.0183,0.0224,0.0266,0.0309,0.0359,0.0418,0.0484,0.0557,0.0629,0.0701,0.0774,0.0850,0.0922,0.0992,0.1060,0.1126,0.1206,0.1300,0.1394,0.1489,0.1558,0.1602,0.1675,0.1775,0.1844,0.1882,0.1899,0.1895,0.1887,0.1876,0.1823,0.1727,0.1622,0.1510,0.1408,0.1316,0.1188,0.1026,0.0890,0.0779,0.0666,0.0552,0.0453,0.0368,0.0295,0.0233,0.0183,0.0145,0.0117,0.0099,0.0078,0.0054,0.0039,0.0033,0.0026,0.0018,0.0013,0.0011,0.0008,0.0006,0.0005,0.0005,0.0004,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002
