y_mm \ x_mm,-55.00,-50.00,-45.00,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,60.00,65.00
55.00,,,,,,,,,,,,,,,,,,,,,,,,,
50.00,,,,,,,,,,,,,,,,,,,,,,,,,
45.00,,,,,,,,,,,,,,,,,,,,,,,,,
40.00,,,,,,,,,,,,,,,,,,,,,,,,,
35.00,,,,,,,,,,,,,,,,,,,,,,,,,
30.00,,,,,,,,,,1.7951,,1.3744,,0.7454,,,,,,,,,,,
25.00,,,,,,,,,1.8856,,1.6997,,1.0000,,0.4714,,,,,,,,,,
20.00,,,,,,,,1.8856,,1.8856,,1.3333,,0.6667,,0.3333,,,,,,,,,
15.00,,,,,,,1.7951,,1.8856,,1.2019,,0.4714,,0.4714,,0.0000,,,,,,,,
10.00,,,,,,1.7951,,1.7951,,1.0541,,0.0000,,0.3333,,0.0000,,0.4714,,,,,,,
5.00,,,,,,,1.6997,,1.4907,,0.4714,,0.0000,,0.7454,,1.0541,,,,,,,,
0.00,,,,,,1.3744,,1.3744,,0.3333,,0.3333,,0.3333,,1.7951,,1.3744,,,,,,,
-5.00,,,,,,,1.0541,,0.4714,,0.0000,,0.3333,,1.6997,,1.7951,,,,,,,,
-10.00,,,,,,1.0541,,0.9428,,0.3333,,0.3333,,1.0000,,1.7951,,,,,,,,,
-15.00,,,,,,,1.0000,,0.6667,,0.0000,,0.4714,,1.8856,,1.6667,,,,,,,,
-20.00,,,,,,,,0.4714,,0.6667,,1.0541,,1.9437,,1.6667,,,,,,,,,
-25.00,,,,,,,,,0.4714,,1.0000,,1.6667,,1.6667,,,,,,,,,,
-30.00,,,,,,,,,,0.7454,,1.3333,,1.6997,,,,,,,,,,,
-35.00,,,,,,,,,,,,,,,,,,,,,,,,,
-40.00,,,,,,,,,,,,,,,,,,,,,,,,,
-45.00,,,,,,,,,,,,,,,,,,,,,,,,,
-50.00,,,,,,,,,,,,,,,,,,,,,,,,,
-55.00,,,,,,,,,,,,,,,,,,,,,,,,,
-60.00,,,,,,,,,,,,,,,,,,,,,,,,,
-65.00,,,,,,,,,,,,,,,,,,,,,,,,,
